Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7aLoa1F3EoM8AeC6Ao1RKz,"Shake Rattle and Roll","Shake Rattle & Rock","Big Joe Turner",2007-10-30,179626,41,false,,2022-03-28T19:44:25Z,"boogie-woogie,doo-wop,classic blues,blues,rockabilly,roots rock","Rhino Atlantic",0.612,0.584,8,-6.296,1,0.0623,0.788,0.00000313,0.193,0.845,154.704,4
spotify:track:0w20j6tOA22U8Q8brOysGK,"5-10-15 Hours","Ruth Brown","Ruth Brown",1957,195466,44,false,,2022-03-28T19:44:25Z,"boogie-woogie,jazz blues,swing music,rockabilly,blues","Rhino Atlantic",0.859,0.244,5,-13.397,1,0.0562,0.765,0,0.126,0.875,121.962,4
spotify:track:2JknWUrnGsGYOh62EQNktb,"Jump Jive An' Wail - Remastered","The Wildest! (Expanded Edition)","Louis Prima,Keely Smith,Sam Butera & The Witnesses",1956-11-01,211066,44,false,,2022-03-28T19:44:25Z,"swing music,big band,vocal jazz","Capitol Records",0.632,0.769,5,-6.627,0,0.0701,0.766,0.00000505,0.0595,0.848,101.927,4
spotify:track:03NnB5RrAVwOKZCalWNpUu,"Butcher Pete (Part 1)","Risque Blues - My Ding-A-Ling","Roy Brown",2009-07-03,148466,44,false,,2022-03-28T19:44:25Z,"","King Records",0.727,0.9,3,-4.1,0,0.13,0.82,0.0000674,0.262,0.866,92.087,4
spotify:track:5cdHRbjhYzNUSvzWWDfKcC,"Love Me Right","Blues Ballads","LaVern Baker",2005-12-20,114946,43,false,,2022-03-28T19:44:25Z,"swing music,boogie-woogie,doo-wop,rockabilly","Rhino Atlantic",0.523,0.482,1,-6.862,1,0.0447,0.703,0,0.179,0.785,146.057,4
spotify:track:0YuFInq5H0KkABIRdM7FaR,"Deacon Rides Again","Presenting Big Jay McNeely","Big Jay McNeely",1955-12-10,167866,17,false,,2022-03-28T19:44:25Z,"","Universal Digital Enterprises",0.388,0.667,1,-4.201,1,0.0437,0.817,0.0000141,0.125,0.833,186.239,4
spotify:track:5eVbYxvz9Ed9Y9KEjfA64y,"Grandma Plays The Numbers","28 Big Ones","Wynonie Harris",2015,155693,46,false,,2022-03-28T19:44:25Z,"boogie-woogie,swing music,rockabilly,roots rock","King Records",0.576,0.677,8,-11.018,1,0.14,0.848,0.000573,0.0835,0.68,159.068,4
spotify:track:3DY0fbOGsg1F1wdoqJFRig,"Caldonia - Single Version","Let The Good Times Roll: The Anthology 1938 - 1953","Louis Jordan & His Tympany Five",1999-02-23,161266,31,false,,2022-03-28T19:44:25Z,"swing music,big band,boogie-woogie,jazz blues","Geffen",0.518,0.356,0,-11.742,1,0.085,0.828,0.000173,0.0841,0.948,167.665,4
spotify:track:5DowgjLju7riW4EXaZfdTZ,"It Ain't The Meat It's The Motion","Dearest","The Swallows",1975,156653,41,false,,2022-03-28T19:44:25Z,"doo-wop,indorock,boogie-woogie,swing music","King Records",0.67,0.357,10,-10.512,1,0.0657,0.861,0.0000614,0.0828,0.834,149.257,4
spotify:track:57ReV13secms86t42AdOWq,"The Flirt","Come on and Have Your Fun","Shirley & Lee",2023-05-01,119386,23,false,,2022-03-28T19:44:25Z,"doo-wop","AMB",0.678,0.451,0,-8.145,1,0.0638,0.668,0,0.0748,0.934,77.816,4
