Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7KVPsVMOK3NL7subwJ0dZj,"Who You Foolin","Drip or Drown 2","Gunna",2019-02-22,151539,73,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-23T22:05:07Z,"melodic rap","300 Entertainment",0.916,0.756,0,-7.653,1,0.188,0.0942,0,0.23,0.756,115.69,4
spotify:track:3QzAOrNlsabgbMwlZt7TAY,"Ballin' (with Roddy Ricch)","Perfect Ten","Mustard,Roddy Ricch",2019-06-28,180434,74,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-23T22:03:06Z,"melodic rap","10 Summers Records/Interscope Records",0.809,0.545,7,-6.678,1,0.0734,0.392,0,0.151,0.244,97.008,4
spotify:track:7A20WnLkjtZU2d7hIB6Ziu,"Start Wit Me (feat. Gunna)","Please Excuse Me for Being Antisocial","Roddy Ricch,Gunna",2019-12-06,158691,61,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-23T21:59:21Z,"melodic rap","Atlantic Records",0.886,0.479,4,-8.054,0,0.334,0.077,0,0.135,0.408,130.029,4
spotify:track:2T1GbU75iGVtOhNUbZuNqk,"Scenario","Meet The Woo","Pop Smoke",2019-07-26,241786,56,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-22T22:21:32Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide/Republic Records",0.71,0.827,6,-4.338,0,0.329,0.0954,0.00102,0.286,0.555,143.104,4
spotify:track:4mbOTHs6heygME9uDHg0mf,"Elusive","Elusive","blackwave.,David Ngyah",2017-10-09,222200,48,false,v828zh1enlyp9vzjlfaj5rzpm,2020-01-13T03:51:30Z,"jazz rap,acid jazz","Sony Music Entertainment",0.567,0.675,5,-6.699,0,0.219,0.335,0,0.247,0.651,167.737,4
spotify:track:5XdMhCdREbGcpG5TmRVrUd,"Kid Cudi (Remix)","Kid Cudi (Remix)","Xavier Wulf",2019-07-15,96052,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-01-12T22:44:12Z,"cloud rap,underground hip hop,emo rap","The Hollow Squad",0.79,0.777,2,-8.752,1,0.339,0.0889,0.00112,0.141,0.421,160.013,4
spotify:track:5V3OeL6m3VBrtN6QEg0M8v,"Hittin' Switches - Instrumental","Raw Flips 3 (Instrumentals)","emune",2017-04-01,200000,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-26T04:43:55Z,"lo-fi hip hop,lo-fi,lo-fi beats","ALWAYS PROPER",0.681,0.345,4,-11.409,0,0.382,0.528,0.718,0.121,0.498,143.908,4
spotify:track:3JAeYOjyJodI4PRs44lx2l,"Off Deez (with J. Cole)","DiCaprio 2","JID,J. Cole",2018-11-26,213357,58,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-09T22:41:42Z,"rap","J. Cole/ DreamVille",0.836,0.579,9,-6.164,1,0.243,0.00207,0,0.11,0.431,85.486,4
spotify:track:0oJVnIvEJSpBTSaCXky2mF,"Lost","Lost","Toonorth",2018-04-08,121338,27,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:54:34Z,"lo-fi beats,lo-fi hip hop,lo-fi,jazz beats","North Records",0.694,0.335,2,-6.355,0,0.0531,0.13,0.898,0.327,0.663,142.466,1
spotify:track:6rBQHMvhlgXB2Mmda4fLCF,"Kid Goku","Kid Goku","Mishaal Tamer",2018-03-22,135981,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:53:50Z,"","College Music Records",0.651,0.317,8,-10.515,0,0.123,0.626,0.784,0.129,0.273,92.831,4
spotify:track:7FXy91VYxCQVFtFcSjr4jD,"Rick N Morty","Swum","SwuM",2018-06-01,111780,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:51:30Z,"lo-fi,lo-fi beats,lo-fi hip hop","SwuM",0.678,0.629,9,-6.884,1,0.109,0.308,0,0.108,0.208,145.932,4
spotify:track:5n16dEoZ1OwdpqOIK13m1X,"Faces","Faces","Knowmadic",2019-01-07,133165,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:51:10Z,"lo-fi beats,lo-fi,lo-fi hip hop","Chillhop Records",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,4
spotify:track:5n16dEoZ1OwdpqOIK13m1X,"Faces","Faces","Knowmadic",2019-01-07,133165,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:51:09Z,"lo-fi beats,lo-fi,lo-fi hip hop","Chillhop Records",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,4
spotify:track:4QXkUqCzWJMU9znu821Kky,"Shine Thru","Speakthru (Bonus Tracks Version)","FloFilz,Ivan Ave",2015-12-04,187175,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:50:56Z,"jazz rap,jazz beats,lo-fi beats,lo-fi hip hop,lo-fi","Jakarta",0.799,0.51,7,-7.168,1,0.185,0.366,0.000221,0.105,0.625,88.501,4
spotify:track:5TkbqmEphrqOGzXGX6gL9Q,"Blue and Green","Colors","Harris Cole,Aso",2018-05-29,174000,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:48:00Z,"lo-fi,lo-fi beats,lo-fi hip hop,jazz beats","Harris Cole & Aso",0.637,0.0389,1,-17.75,1,0.115,0.897,0.849,0.0731,0.479,79.908,4
spotify:track:6gyeaab6u8qGxz1nbY4Jjh,"Slow Hours","Slow Hours","weird inside",2015-11-01,147017,35,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:47:40Z,"lo-fi,lo-fi beats,lo-fi hip hop","weird inside",0.487,0.398,9,-10.503,1,0.0568,0.189,0.211,0.114,0.0456,99.139,3
spotify:track:6gyeaab6u8qGxz1nbY4Jjh,"Slow Hours","Slow Hours","weird inside",2015-11-01,147017,35,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:47:38Z,"lo-fi,lo-fi beats,lo-fi hip hop","weird inside",0.487,0.398,9,-10.503,1,0.0568,0.189,0.211,0.114,0.0456,99.139,3
spotify:track:19JzJOMs4wkuKxY8WEOMea,"this girl","Gentle Boy","Elijah Who",2017-09-29,122704,12,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:46:30Z,"lo-fi,lo-fi beats,lo-fi hip hop","VinDig",0.79,0.133,8,-9.365,1,0.0915,0.875,0.808,0.111,0.422,69.997,4
spotify:track:7l0Fsc0ksF4IefhZ4n8MOW,"Sudden Death","jhfly","Chill Children,jhfly",2018-03-13,111948,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:46:12Z,"lo-fi,lo-fi hip hop,lo-fi beats","Chill Children",0.876,0.17,4,-9.262,0,0.114,0.463,0.582,0.332,0.264,148.229,4
spotify:track:7lE2Fn4wks90gUCnej39Vt,"Praise the Lawd","Praise the Lawd","SwuM",2018-11-27,134025,30,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:45:48Z,"lo-fi,lo-fi beats,lo-fi hip hop","SwuM",0.758,0.453,2,-4.935,0,0.258,0.0476,0.308,0.0906,0.0942,153.98,4
spotify:track:4IGgG3xT8XL64Mf2P69F9d,"The Girl I Haven't Met (Biskwiq Flip)","Good Morning Say It Back","Kudasaibeats,Biskwiq",2018-05-06,194220,42,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:42:12Z,"lo-fi,lo-fi hip hop,lo-fi beats","Off The Jump",0.733,0.547,8,-5.464,1,0.203,0.301,0.00537,0.383,0.295,71.976,4
spotify:track:3n1cH3t8cMvBC1lB41lzb5,"Quiet","Solitude.","Jinsang",2016-01-16,133134,6,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:39:55Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.744,0.291,6,-11.359,0,0.12,0.22,0.766,0.111,0.611,169.777,4
spotify:track:21IiEw3SqSLLcMmPQt44zC,"1995","1995","CoryaYo",2014-04-03,159056,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:39:26Z,"lo-fi hip hop,jazz rap,lo-fi beats,lo-fi","VinDig",0.798,0.481,6,-8.435,1,0.17,0.101,0.00000703,0.196,0.579,90.188,4
spotify:track:3ImJurxjtL8FutkeQ6uPRK,"CANNON","CANNON","BROCKHAMPTON",2017-02-01,280234,38,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-30T00:32:41Z,"","QUESTION EVERYTHING, INC. / EMPIRE",0.522,0.613,3,-9.391,0,0.0375,0.169,0.00103,0.107,0.309,76.516,4
spotify:track:7tgjDlQsMR8RvkdlNCJA58,"6 Kiss","A Love Letter To You 4","Trippie Redd,Juice WRLD,YNW Melly",2019-11-22,199436,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-29T15:20:54Z,"melodic rap,emo rap","TenThousand Projects, LLC",0.687,0.449,2,-10.061,1,0.154,0.109,0,0.282,0.229,142.051,4
spotify:track:6FIsKBZc3EHaTvWndQajIF,"Diva","Donny Womack","Don Toliver",2018-08-02,201181,54,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-28T01:02:21Z,"","We Run It Ent./Cactus Jack/Atlantic",0.757,0.655,6,-7.118,0,0.15,0.0759,0,0.0743,0.897,153.912,4
spotify:track:5Tp5zlCgbwXLMa3pgYsNMl,"Elevate & Motivate","A Love Letter To You 3","Trippie Redd,YoungBoy Never Broke Again,Nel-Denarro",2018-11-09,221781,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-22T17:58:52Z,"melodic rap","TenThousand Projects, LLC",0.657,0.759,1,-3.446,1,0.0507,0.172,0,0.149,0.425,156.08,4
spotify:track:3s9f1LQ6607eDj9UYCzmgk,"Running the Streets (feat. A Boogie Wit Da Hoodie & Denzel Curry)","Port of Miami 2","Rick Ross,A Boogie Wit da Hoodie,Denzel Curry",2019-08-15,224840,42,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-20T00:07:49Z,"southern hip hop,melodic rap","Epic",0.536,0.622,1,-7.98,1,0.262,0.0744,0,0.197,0.227,70.474,3
spotify:track:6nO3tr47nr2P7f3hXb8JIo,"Champion (feat. Travis Scott)","RECKLESS","NAV,Travis Scott",2018-05-18,195053,63,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-18T00:20:31Z,"melodic rap,rap","Republic Records",0.643,0.782,5,-3.395,0,0.0476,0.384,0,0.108,0.393,162.006,4
spotify:track:594suifkodzqXMkJlkKRQd,"Ice Age","32 Zel","Denzel Curry",2015-06-09,171907,42,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T20:34:20Z,"","Loma Vista",0.462,0.623,5,-8.174,0,0.119,0.00563,0,0.767,0.42,109.237,4
spotify:track:6xVhqLT40s5sVhepe9Mckc,"Weather the Storm (feat. Meek Mill & Lil Baby)","Father Of Asahd","DJ Khaled,Meek Mill,Lil Baby",2019-05-17,153337,43,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:22:15Z,"rap","Epic/We The Best",0.515,0.802,2,-2.655,0,0.283,0.18,0,0.241,0.279,76.069,4
spotify:track:0gV5B7zmJkS1aaH9APokrH,"Wow Freestyle (feat. Kendrick Lamar)","Redemption","Jay Rock,Kendrick Lamar",2018-06-15,175213,62,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:21:45Z,"hip hop,west coast hip hop","Top Dawg Ent./Interscope Records",0.782,0.633,8,-4.644,1,0.341,0.0355,0,0.0615,0.749,150.055,4
spotify:track:2wOXxtHZgRkkrkEbKLzzqs,"1.5","i am > i was","21 Savage",2018-12-21,148655,55,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:21:22Z,"","Slaughter Gang, LLC/Epic Records",0.885,0.52,1,-8.353,1,0.359,0.000244,0.00000116,0.454,0.306,84.022,4
spotify:track:2wOXxtHZgRkkrkEbKLzzqs,"1.5","i am > i was","21 Savage",2018-12-21,148655,55,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:21:21Z,"","Slaughter Gang, LLC/Epic Records",0.885,0.52,1,-8.353,1,0.359,0.000244,0.00000116,0.454,0.306,84.022,4
spotify:track:7pMRoGLEJuFM2wl5pt0R99,"Legacy (feat. Travis Scott & 21 Savage)","FATHER OF 4","Offset,Travis Scott,21 Savage",2019-02-22,244941,61,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:20:38Z,"rap","Quality Control Music/Motown Records",0.844,0.513,1,-8.769,1,0.336,0.178,0,0.0845,0.344,128.085,4
spotify:track:5WnfnSpuNEGXyEt78PBA6d,"Costa Rica (with Bas & JID feat. Guapdad 4000 Reese LAFLARE Jace Mez Smokepurpp Buddy & Ski Mask The Slump God)","Revenge Of The Dreamers III","Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",2019-07-05,217866,61,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:18:47Z,"","Dreamville/Interscope Records",0.642,0.647,7,-6.312,0,0.428,0.517,0,0.0649,0.664,120.749,4
spotify:track:5MqPHMhLXyZDDPHMGEF6MQ,"Routine (feat. Rick Ross & Meek Mill)","Wow... That's Crazy","Wale,Meek Mill,Rick Ross",2019-10-11,217060,41,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:14:15Z,"rap,southern hip hop","MMG/Warner Records",0.74,0.712,9,-7.188,1,0.415,0.0796,0,0.491,0.652,146.315,4
spotify:track:7yB6GF5kgPEoeGE4EAWiJU,"Blue Laces 2","Victory Lap","Nipsey Hussle",2018-02-16,250920,58,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-26T06:08:17Z,"west coast hip hop","Atlantic Records",0.569,0.836,4,-3.831,0,0.226,0.0276,0,0.479,0.0927,75.701,4
