Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5jJYJthaXUdkHKmiS6TuXe,"Distance (feat. Issa Gold & Erick The Architect)","Escape From New York","Beast Coast,Joey Bada$$,Flatbush Zombies,Issa Gold,Erick the Architect,Powers Pleasant",2019-05-24,133053,1,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:01:05Z,"hip hop,rap,jazz rap","Columbia",0.784,0.606,2,-7.726,1,0.125,0.003,0,0.101,0.267,118.965,4
spotify:track:0J6UvGEMuJvzPKvlDbBvLz,"Adam & Eve","Wildboy","Calboy",2019-05-31,179466,50,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:06:36Z,"melodic rap","Polo Grounds Music/RCA Records",0.781,0.696,6,-5.553,0,0.313,0.203,0,0.13,0.692,74.998,4
spotify:track:3O7lxdQoe1aNWs93VSHsJg,"On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky)","Perfect Ten","Mustard,YG,Tyga,A$AP Ferg,A$AP Rocky",2019-06-28,263126,45,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:14:05Z,"rap","10 Summers Records/Interscope Records",0.855,0.676,1,-5.359,1,0.206,0.218,0,0.0592,0.337,104.003,4
spotify:track:1j6kDJttn6wbVyMaM42Nxm,"Lord Pretty Flacko Jodye 2 (LPFJ2)","AT.LONG.LAST.A$AP","A$AP Rocky",2015-05-26,126960,73,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:18:47Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.485,0.72,6,-5.991,1,0.127,0.0123,0,0.0546,0.0471,207.982,4
spotify:track:0MKDe18bJByUavetHwnhrv,"Go Viral (feat. Future & Metro Boomin)","Go Viral (feat. Future & Metro Boomin)","Joe Moses,Future,Metro Boomin",2019-08-12,168810,30,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:25:33Z,"rap","N.W.B. Music / EMPIRE",0.856,0.283,1,-12.032,1,0.0734,0.0612,0.0122,0.112,0.0687,92.517,4
spotify:track:5Z8HZM6iQMhhqyPcCGY5g9,"Hot (feat. Gunna)","So Much Fun","Young Thug,Gunna",2019-08-16,193026,71,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:26:56Z,"rap,melodic rap,trap","300 Entertainment/Atl",0.855,0.651,0,-8.044,0,0.235,0.063,0,0.0772,0.559,111.997,4
spotify:track:0kBW3UVhy7M9OtgbZf3Kn9,"Once Again (Lil Yachty feat. Tee Grizzley)","Quality Control: Control The Streets Volume 2","Quality Control,Lil Yachty,Tee Grizzley",2019-08-16,167943,38,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T20:39:54Z,"","Quality Control Music/Motown Records",0.84,0.884,10,-4.008,1,0.252,0.2,0,0.295,0.782,104.004,4
spotify:track:63KKvdfkStMHQM4Ufzx2KB,"Let It Eat (feat. Ugly God)","Bawskee","Comethazine,Ugly God",2018-08-24,87313,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T20:42:58Z,"","Alamo Records",0.944,0.752,11,-2.625,0,0.135,0.00754,0.0107,0.141,0.489,134.039,4
spotify:track:0VZFUulbRB0RGBgW2z9PDp,"No Ex","Bawskee","Comethazine",2018-08-24,100179,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T20:46:33Z,"","Alamo Records",0.815,0.522,1,-6.352,1,0.433,0.00738,0,0.112,0.171,165.012,4
spotify:track:1GeNui6m825V8jP4uKiIaH,"Bad Bad Bad (feat. Lil Baby)","So Much Fun","Young Thug,Lil Baby",2019-08-16,149040,79,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T20:50:46Z,"rap,melodic rap,trap","300 Entertainment/Atl",0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,4
