Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1NrfYKKmddgiiHTXUdgfR5,"ceiling duty","ceiling duty","lilibu",2025-06-15,142719,63,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.477,0.0614,0,-23.171,0,0.111,0.94,0.939,0.139,0.413,129.635,4
spotify:track:482TmP0lQwMVJ0Yx1k1GTb,"Dandelion","Dandelion","nate2timez",2025-06-20,145714,62,false,,2025-08-29T04:00:32Z,"dark ambient,lo-fi","Score a Score",0.699,0.0423,9,-18.461,0,0.0492,0.962,0.928,0.0899,0.239,112.016,4
spotify:track:6TVxYnAVr3jDo9J71rvVMF,"untangled","untangled","bax iv",2025-08-10,127250,55,false,,2025-08-29T04:00:32Z,"lo-fi","bax iv",0.637,0.193,8,-20.582,1,0.045,0.938,0.848,0.108,0.562,119.928,4
spotify:track:7pdBSlVjEAXvvlvxzaESz1,"daydreamin","daydreamin","zoemoon.",2025-06-20,115500,62,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi","zoemoon.",0.638,0.125,6,-20.875,0,0.0536,0.921,0.84,0.0783,0.335,80.02,4
spotify:track:7AhJBg8kRwDkL8xQfHY2gj,"inner glow","inner glow","quiet arcade",2025-07-04,167692,61,false,,2025-08-29T04:00:32Z,"","Score a Score",0.819,0.135,4,-14.749,1,0.093,0.843,0.953,0.0825,0.313,78.094,4
spotify:track:0bdMRNjinGp524wzoc0Wwi,"Noc turne","Noc turne","Zeitgeister",2024-07-07,121500,62,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi","Zeitgeister",0.669,0.227,7,-13.386,0,0.0578,0.935,0.937,0.106,0.297,160.003,4
spotify:track:5uGkOIH1mdoIlCmGBJcdem,"Tuscany","Tuscany","Fya Playce",2025-07-06,114107,61,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.548,0.359,11,-12.239,1,0.0504,0.74,0.801,0.111,0.0796,140.134,4
spotify:track:6Dle7iZGTOyVzbxpvsKTi1,"oldkeys","oldkeys","Analogue Alf",2025-08-03,125234,54,false,,2025-08-29T04:00:32Z,"","Analogue Alf",0.613,0.013,1,-17.666,0,0.105,0.975,0.91,0.0973,0.175,77.012,4
spotify:track:1VFcm6dHaWzvBo69EyjCnK,"Kyla","Kyla","BeatsBySindri",2025-06-27,160600,62,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi","BeatsBySindri",0.682,0.188,0,-22.747,1,0.117,0.834,0.905,0.096,0.204,75.003,4
spotify:track:57VbofiK1Eo7t0p8KbrpDq,"Wandering Haze","Wandering Haze","Tooslo",2025-08-22,148152,42,false,,2025-08-29T04:00:32Z,"lo-fi","Tooslo",0.621,0.0685,7,-21.465,1,0.0307,0.884,0.914,0.116,0.0749,91.029,4
spotify:track:6GHgn25eOOYaEX8lzMXvcI,"Low","Low","Floating Basket",2025-08-15,149000,55,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi beats","Floating Basket",0.65,0.0439,9,-24.828,0,0.0392,0.963,0.947,0.0853,0.208,120.076,4
spotify:track:3Qm51QkXVVZhYTXyff8vg2,"something to say","something to say","low pines",2025-08-10,111428,55,false,,2025-08-29T04:00:32Z,"lo-fi beats","Chill Caterpillar",0.662,0.105,9,-12.956,0,0.153,0.759,0.926,0.0879,0.074,168.283,4
spotify:track:2M308BE21jeTq0miYBzfxY,"back alone","back alone","low pines",2025-08-17,131982,37,false,,2025-08-29T04:00:32Z,"lo-fi beats","Chill Caterpillar",0.602,0.228,2,-12.087,1,0.0399,0.779,0.854,0.112,0.269,144.009,4
spotify:track:2hLnS47GXY6F7K1tRIeKQb,"lotus lullaby","lotus lullaby","Reve brumeux",2025-08-08,139047,53,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi","Reve brumeux",0.794,0.171,10,-18.253,0,0.0723,0.872,0.338,0.148,0.241,125.977,4
spotify:track:63fFuxQp876822XiB21GLY,"Dune","Dune","Soft Dunes",2025-08-22,146557,37,false,,2025-08-29T04:00:32Z,"lo-fi beats","Soft Dunes",0.6,0.079,2,-18.939,1,0.0336,0.91,0.873,0.111,0.193,122.07,4
spotify:track:7E2GF1dct7xy9GKgp4eQrj,"ValleyViews","ValleyViews","Mellow Mirror",2025-06-22,118518,60,false,,2025-08-29T04:00:32Z,"lo-fi","Mellow Mirror",0.726,0.252,0,-16.434,0,0.0932,0.92,0.946,0.104,0.139,161.981,4
spotify:track:02oyJrGlvHQ4sf7obYMJJk,"lonely nights","lonely nights","butterfli",2025-07-20,123428,61,false,,2025-08-29T04:00:32Z,"lo-fi","Chill Caterpillar",0.891,0.326,9,-13.904,1,0.411,0.608,0.949,0.16,0.0718,140.013,4
spotify:track:2CZf8wYy8bkDYDnEyBiA2J,"florale","florale","jean opal",2025-08-22,142222,41,false,,2025-08-29T04:00:32Z,"","jean opal",0.557,0.021,3,-25.824,0,0.0416,0.968,0.884,0.108,0.338,108.033,4
spotify:track:7gEZsQNuTYbLiMmr8LmXhQ,"Rearview","Rearview","Dondie",2025-06-27,147692,60,false,,2025-08-29T04:00:32Z,"lo-fi","BAM BOO STU",0.614,0.218,7,-17.731,1,0.0338,0.948,0.914,0.102,0.0735,130.009,4
spotify:track:0zdlSTnQp1K76iz8C6fAaW,"luminous city","luminous city","May-Flowa",2025-08-17,119142,37,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.38,0.101,0,-19.663,1,0.0354,0.924,0.929,0.0958,0.0806,120.806,1
spotify:track:6GPecIJFTK4aAlrCMJMEGq,"eclipse","eclipse","Hevi",2025-07-04,148000,59,false,,2025-08-29T04:00:32Z,"lo-fi hip hop,lo-fi,lo-fi beats","recordJet",0.504,0.0826,6,-28.486,1,0.0477,0.915,0.892,0.101,0.184,119.899,4
spotify:track:512iuZfygeaybuoakIeXiN,"Five","Five","Spring Bingo",2025-08-22,155769,43,false,,2025-08-29T04:00:32Z,"","Spring Bingo",0.567,0.0626,9,-21.385,0,0.0435,0.84,0.94,0.357,0.0929,208.013,4
spotify:track:39c6fk5gs2W6HISF6qLzvD,"Soil","Soil","Mellow Moose",2025-08-08,142035,54,false,,2025-08-29T04:00:32Z,"lo-fi beats","Mellow Moose",0.389,0.192,9,-16.412,1,0.0452,0.922,0.904,0.0849,0.0541,84.103,4
spotify:track:1LI40k1h6Z4MnrkCBbUkY9,"nostalgia","nostalgia","heirloom",2025-06-29,135428,61,false,,2025-08-29T04:00:32Z,"lo-fi beats","Chill Caterpillar",0.77,0.223,10,-15.064,1,0.117,0.783,0.909,0.109,0.515,140.309,4
spotify:track:4fnD147UMtT4vv5bougNIJ,"Blue Skies","Blue Skies","hiking trip",2025-08-17,154218,37,false,,2025-08-29T04:00:32Z,"","Chill Caterpillar",0.2,0.105,6,-16.746,1,0.0303,0.972,0.867,0.146,0.125,174.284,4
spotify:track:13k2LSUYUuJq25wh0rdI2C,"told u","told u","nearly monday",2025-07-25,143684,59,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi beats","nearly monday",0.646,0.134,7,-15.034,0,0.0432,0.743,0.926,0.109,0.207,76.337,4
spotify:track:1cjg38YNaqOhK3tBlgJZ04,"echo","echo","johto",2025-08-22,150000,51,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.609,0.0989,2,-20.863,1,0.0324,0.921,0.943,0.0895,0.262,80.038,4
spotify:track:0retY8nYDdgE7sEXRDhAGh,"Kanáan","Kanáan","lorleaf",2025-06-13,128239,59,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi,jazz beats","The Theory Behind",0.725,0.175,7,-17.612,1,0.0528,0.864,0.79,0.121,0.463,142.089,4
spotify:track:1XnFDJNFRbpbsf9Lm9JZOL,"Neverending","Neverending","Moofushi",2025-06-11,148000,58,false,,2025-08-29T04:00:32Z,"lo-fi beats","Defective Tomato",0.762,0.288,8,-12.204,0,0.041,0.857,0.866,0.108,0.0985,120.031,4
spotify:track:20MAwDKxVzGWE290ZnMwY1,"home","home","grtjs,Pleij",2025-08-29,108493,37,false,,2025-08-29T04:00:32Z,"lo-fi beats,jazz beats,lo-fi","Settle / @settlefm",0.68,0.213,11,-15.251,1,0.0347,0.785,0.919,0.11,0.206,145.953,4
spotify:track:583q9viG8tUw5Cxviil4wj,"Twilight","Twilight","Haku-San",2025-06-27,130660,62,false,,2025-08-29T04:00:32Z,"lo-fi","Haku-San",0.635,0.162,9,-16.87,1,0.169,0.917,0.342,0.109,0.393,67.659,4
spotify:track:2XWoaHilDGezt1YlLn7VVB,"Cozy Nights","Cozy Nights","Soulflu",2025-06-27,135272,63,false,,2025-08-29T04:00:32Z,"lo-fi","Soulflu",0.808,0.0594,5,-21.287,1,0.0505,0.84,0.935,0.111,0.154,110.023,4
spotify:track:7Jg7R2jKpx0yLCBxTTtlG1,"Violet Ash","Violet Ash","Neon Moss",2025-07-20,111732,59,false,,2025-08-29T04:00:32Z,"lo-fi beats","Neon Moss",0.534,0.0797,11,-25.226,1,0.033,0.897,0.89,0.103,0.185,90.079,5
spotify:track:4Cl9bLrIxcIbCqeqNczRR0,"Fuzzy","Fuzzy","Lil Leaf",2025-08-17,160000,34,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.311,0.0354,10,-20.984,1,0.0571,0.953,0.922,0.111,0.293,130.375,4
spotify:track:598ObM4J3GozCnXyeW2q8F,"little bird","little bird","chanchito estafa",2025-07-18,137142,58,false,,2025-08-29T04:00:32Z,"","Mega-Clout Sounds",0.612,0.108,3,-19.329,1,0.0438,0.836,0.923,0.109,0.396,70.038,4
spotify:track:5160S4mRzyYEvgZGlxs1KZ,"bright side","bright side","cmd f",2025-08-08,181499,50,false,,2025-08-29T04:00:32Z,"lo-fi beats,lo-fi","cmd f",0.601,0.277,5,-11.749,0,0.11,0.879,0.811,0.12,0.528,160.084,4
spotify:track:6ZmyQ5HusuOyyk42tyxJzY,"Wistful","Wistful","herman.",2025-06-27,178064,58,false,,2025-08-29T04:00:32Z,"lo-fi,lo-fi hip hop","herman.",0.562,0.0201,4,-22.995,1,0.0319,0.925,0.953,0.108,0.0694,62.055,4
