Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7FknBUKLWwjWszRK1N0jqe,"She Gon Go","She Gon Go","Trill Ryan",2019-02-21,121009,50,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-30T18:57:05Z,"","8PE TOWN",0.766,0.498,7,-10.147,0,0.0519,0.00195,0,0.306,0.496,104.006,4
spotify:track:6One8sNNl6V38YfefwFSNR,"Friends (Intro)","The Playa's Tape","Bagchasintee",2020-09-08,145397,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-30T18:57:18Z,"","2366273 Records DK",0.959,0.717,10,-9.765,0,0.205,0.036,0,0.218,0.51,112.269,4
spotify:track:6fMzgFFGzWCwiHMzDzNpp5,"Lets Link","Lets Link","WhoHeem",2020-08-20,159955,59,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-30T18:57:45Z,"","Arista Records/Columbia Records",0.839,0.683,10,-9.232,0,0.165,0.00667,0,0.241,0.522,120.003,4
spotify:track:3JlIWg991WM3tlg8aOXEnq,"In My City","An Everlasting King","KINGMOSTWANTED,MCM Raymond",2019-09-15,169195,51,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-30T18:58:19Z,"","8PE TOWN",0.938,0.306,4,-12.088,0,0.228,0.0536,0,0.0889,0.136,104.976,4
spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,"Paramedic!","Black Panther The Album Music From And Inspired By","SOB X RBE",2018-02-09,219306,59,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-30T19:02:41Z,"hyphy","Black Panther (TDE/DMG) PS",0.856,0.653,1,-5.324,1,0.143,0.178,0,0.193,0.471,97.017,4
spotify:track:7BkVZRHhZpKfgRtRpbb76j,"Lane Changing","SOB X RBE","SOB X RBE",2017-01-23,192070,49,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-30T19:02:54Z,"hyphy","SOB X RBE",0.926,0.869,7,-5.64,1,0.338,0.0281,0,0.214,0.731,109.964,4
spotify:track:56FMOoOHcUZ1HXYCp2iRFB,"I Ain't Stressin","I Ain't Stressin","Kai Bandz",2019-03-11,140280,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-31T04:22:02Z,"","Kai Bandz",0.829,0.509,0,-7.142,0,0.224,0.178,0,0.581,0.735,100.028,4
spotify:track:0nXgBBZFVdumUIaxszDm1p,"Fuck It Up (feat. YG)","A Good Night in the Ghetto","Kamaiyah,YG",2016-03-23,141844,59,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:22:59Z,"hyphy","Kamaiyah",0.634,0.668,0,-7.369,1,0.0689,0.432,0,0.552,0.435,97.998,4
spotify:track:7K9NoVoccqKpf0ST7VRLMV,"Different Varieties","Different Varieties","KINGMOSTWANTED",2019-08-12,131133,32,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:24:39Z,"","8PE TOWN",0.923,0.485,1,-5.599,1,0.459,0.00311,0.0000184,0.117,0.0703,119.967,4
spotify:track:3DBwDqXgldSDm9FSlYSllK,"Charlie","Second Hand Smoke","ShooterGang Kony",2019-07-17,129807,56,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:25:49Z,"hyphy","Shooter Gang Kony / EMPIRE",0.948,0.588,1,-6.009,1,0.378,0.0834,0,0.103,0.416,104.031,4
spotify:track:3cIDxHdvGL0e25GUkUJEJL,"Don't Lie to Me","Problem Child","Slimmy B",2017-10-09,175751,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:26:45Z,"hyphy","SOB X RBE",0.925,0.774,5,-4.553,0,0.384,0.074,0,0.302,0.503,106.454,4
spotify:track:6P1XtHEPUFa7vLYFssqTOc,"Hot Nigga","Hot Nigga","Mike Sherm",2018-05-10,96095,54,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:29:10Z,"hyphy","Mike Sherm",0.86,0.553,2,-9.096,1,0.0665,0.0998,0.056,0.264,0.131,106.985,4
spotify:track:3pzvcBUNp8FOq0qtxafSmU,"1-800-IM-HORNY","Got It Made","Kamaiyah",2020-02-21,163391,31,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-07T21:22:18Z,"hyphy","GRND.WRK / EMPIRE",0.933,0.545,1,-7.931,1,0.307,0.00211,0,0.0638,0.14,100.044,4
spotify:track:7lxSMp0xklync2hK79VQte,"Set It Up","Got It Made","Kamaiyah,Trina",2020-02-21,132815,20,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-07T21:23:39Z,"hyphy","GRND.WRK / EMPIRE",0.86,0.638,7,-8.893,1,0.388,0.018,0,0.112,0.595,103.055,4
spotify:track:3kY0epzz9eC1EvVmUaYTqG,"On Me","GANGIN","SOB X RBE",2018-02-23,204512,25,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-19T18:10:41Z,"hyphy","SOB x RBE / EMPIRE",0.866,0.789,10,-6.868,1,0.345,0.00821,0,0.0958,0.631,99.962,4
spotify:track:5rylDWj5GCHXceg16cCnVq,"Disappointed","BeBe Kidd 2","Cash Kidd",2018-08-31,181968,12,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-12T16:55:41Z,"","4746 Global",0.552,0.802,8,-7.385,0,0.25,0.274,0,0.157,0.617,119.997,5
spotify:track:1Sg6Rju24GFZl4NEZAKucp,"To Da Neck","To Da Neck","1takejay",2018-02-03,142570,50,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-24T05:18:46Z,"hyphy","785644 Records DK",0.922,0.577,11,-6.922,0,0.292,0.0212,0,0.134,0.643,103.308,4
spotify:track:6TnLsNSHu6E7OFAcB8XQhR,"Licked Up","My World","AZ Chike,Almighty Suspect",2018-03-23,194674,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-24T05:19:54Z,"hyphy","AzCult",0.886,0.354,1,-15.511,1,0.552,0.000853,0,0.0731,0.232,100.055,4
spotify:track:4HK9Ive4wK7426QXxQZS6L,"Calvin Cambridge","SOB X RBE","SOB X RBE",2017-01-23,148375,54,true,v828zh1enlyp9vzjlfaj5rzpm,2023-04-18T16:17:02Z,"hyphy","SOB X RBE",0.777,0.678,2,-4.502,1,0.376,0.00476,0,0.363,0.81,181.885,4
