Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0VgkVdmE4gld66l8iyGjgx,"Mask Off","FUTURE","Future",2017-06-30,204600,81,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:01:08Z,"rap","Epic/Freebandz/A1",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
spotify:track:6SpBKyfn9BnvnoQbUGPlYM,"200 FOR LUNCH","WUNNA (Deluxe)","Gunna",2020-07-24,149106,69,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:01:27Z,"melodic rap","300 Entertainment",0.745,0.662,0,-8.924,1,0.248,0.277,0,0.425,0.787,127.915,4
spotify:track:4YhJ3a6kBPGJWX4Ek77sDd,"TOP FLOOR (feat. Travis Scott)","WUNNA","Gunna,Travis Scott",2020-05-22,169906,70,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:01:51Z,"melodic rap,rap","300 Entertainment",0.823,0.504,8,-8.65,0,0.16,0.206,0,0.417,0.481,112.985,4
spotify:track:0wYOlCybpxFc2azWLyYj0S,"Lets Link","Lets Link","WhoHeem",2020-08-20,159955,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:02:11Z,"","8PETOWN",0.839,0.683,10,-9.232,0,0.165,0.00667,0,0.241,0.522,120.003,4
spotify:track:7sjFIZ1g5QLJLGja3k592K,"44 BullDog","Shoot For The Stars Aim For The Moon","Pop Smoke",2020-07-03,150857,56,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:02:42Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.8,0.564,8,-5.817,1,0.4,0.0287,0.00000165,0.112,0.318,139.989,4
spotify:track:7DadISanumr7RMy1A7SW7Q,"Florida Jit","Florida Jit","Smokepurpp,RONNY J",2020-06-19,80615,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:02:51Z,"argentine trap","Alamo (Geffen Records)",0.795,0.623,10,-6.822,0,0.0616,0.0574,0.0000509,0.149,0.21,85.044,4
spotify:track:14PWHDV87nXiSuClZDsEYC,"Richard Millie Plain","Drip or Drown 2","Gunna",2019-02-22,200134,59,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:03:31Z,"melodic rap","300 Entertainment",0.744,0.674,1,-7.518,0,0.0641,0.356,0,0.128,0.316,134.021,4
spotify:track:2xv48INYWXzGfcHRUxekM9,"Westside","Lil Boat 3","Lil Yachty",2020-05-29,151431,35,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:03:42Z,"","Quality Control Music/Motown Records",0.916,0.704,6,-4.065,0,0.235,0.0302,0,0.11,0.812,145.981,4
spotify:track:57crda5Lx9OVaYCzb4Wrnd,"CAN'T STOP","BLAME IT ON BABY","DaBaby",2020-04-17,168373,38,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:05:21Z,"","South Coast Music Group/Interscope Records",0.732,0.707,11,-5.849,0,0.304,0.0348,0,0.399,0.832,140.04,4
spotify:track:3XiNC94b4Tq1xwv70sQJGN,"Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert",2019-04-09,243976,71,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:05:36Z,"melodic rap","Generation Now/Atlantic",0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,4
spotify:track:1w9a84nSrTyjNjYviMYvJh,"Permanent","Pandemic","Comethazine",2020-03-27,84960,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:05:57Z,"","Alamo Records",0.885,0.54,1,-8.559,1,0.242,0.0363,0,0.338,0.865,140.018,4
spotify:track:5mhhIHsPJGqBMTRiFOtHDF,"Venetia","Eternal Atake (Deluxe) - LUV vs. The World 2","Lil Uzi Vert",2020-03-13,188800,47,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:06:05Z,"melodic rap","Generation Now/Atlantic",0.775,0.757,9,-4.139,1,0.175,0.162,0,0.148,0.562,142.933,4
spotify:track:0AphwbfFSlGgGDlXGeiEpu,"Bands","Bawskee","Comethazine",2018-08-24,98734,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-09-04T20:06:33Z,"","Alamo Records",0.834,0.457,10,-10.775,1,0.572,0.21,0,0.0641,0.533,158.008,4
