Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ERZGchTi6sysVmA913Ryx,"Forget Me Nots - Remastered","Straight from the Heart (Remastered)","Patrice Rushen",1982-04-14,284506,72,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"post-disco,jazz funk,disco,funk","Strut",0.919,0.458,6,-6.963,0,0.0429,0.0797,0.0558,0.0534,0.963,113.82,4
spotify:track:1p2ea5Dy0tOnt9q4wfy4aX,"Bam Bam","One Two","Sister Nancy",2002-03-15,196506,70,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"reggae,ragga,rocksteady","Techniques",0.723,0.605,5,-6.07,1,0.153,0.825,0.0181,0.248,0.709,165.99,4
spotify:track:2gmWJA9oF4GD2Vw5QoRqu1,"I Want You","I Want You (Deluxe Edition)","Marvin Gaye",1976-03-16,274400,64,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-31T15:21:50Z,"motown,classic soul,soul,northern soul,quiet storm","Motown",0.515,0.793,1,-9.557,0,0.034,0.849,0.317,0.236,0.737,100.551,4
spotify:track:48ifRcXHbUjc1moUjJcwhx,"Encore","Preppie (Expanded Edition)","Cheryl Lynn",1983,319760,49,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"disco,post-disco","Columbia/Legacy",0.703,0.84,1,-9.805,1,0.0485,0.0333,0.000396,0.997,0.88,108.763,4
spotify:track:5PyhIVD3WFiEQQTG36Tfch,"Skrilla","Skrilla","Kodak Black",2014-12-25,216189,69,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-31T15:21:50Z,"","Atlantic Records",0.7,0.568,2,-9.719,1,0.139,0.0959,0,0.122,0.446,145.056,3
spotify:track:1fvCggAYrW0VtCljtqv4h2,"Last Memory","The Last Rocket","Takeoff",2018-11-02,162132,64,true,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"","Quality Control Music/Motown Records/Capitol Records",0.854,0.708,1,-5.804,0,0.243,0.175,0,0.241,0.171,118.019,4
spotify:track:7lv4SU2ATVjQJp6Jia0x7N,"Dark Thoughts","DOPAMINE","Lil Tecca",2025-06-13,136991,78,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-31T15:21:50Z,"melodic rap,rap","Galactic / Republic Records",0.8,0.787,1,-3.552,0,0.131,0.0516,0,0.17,0.708,102.006,4
spotify:track:4sylKPWeCdJnAvZdflt0y5,"Sunflower Seeds","Sli'merre","Young Nudy,Pi’erre Bourne",2019-05-08,182320,58,true,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"melodic rap","Not specified",0.927,0.486,10,-7.236,1,0.309,0.318,0.0000172,0.0973,0.353,136.966,4
spotify:track:3VCXx37jNGNOMns6z2OnvJ,"Swing Lynn","I'm Sure","Harmless",2012-08-14,321438,71,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"","Nettwerk Music Group",0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,4
spotify:track:3VIJBrMpvimHEw5wtPh2wB,"Money","Portamento","The Drums",2011-01-01,233639,74,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"indie","Universal-Island Records Ltd.",0.603,0.918,4,-6.652,0,0.0641,0.216,0.146,0.284,0.452,102.473,4
spotify:track:0SiywuOBRcynK0uKGWdCnn,"Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,84,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-31T15:21:50Z,"art pop,pop","Interscope",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
spotify:track:3HlK8txWAdtKMrbsqX40pl,"Freaking Out the Neighborhood","2","Mac DeMarco",2012-10-16,173888,75,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"indie,lo-fi indie","Captured Tracks",0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,4
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,82,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-31T15:21:50Z,"classic rock,yacht rock,soft rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:2BY7ALEWdloFHgQZG6VMLA,"Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,186826,78,false,kl9dajqcoznjdzy5fzzsctq5b,2025-08-31T15:21:50Z,"yacht rock","Epic/Legacy",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
