Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2rn48d6ACa5rpLLnnowNQ0,"Un anno d'amore","Studio Uno","Mina",2009,193440,53,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-08T00:13:06Z,"italian singer-songwriter,italo dance","Peer Southern Productions",0.457,0.338,9,-6.589,0,0.0283,0.699,0,0.105,0.464,98.471,4
spotify:track:3ILMHTF0uUwTtUOBcaOEx1,"Cry Me A River","V For Vendetta (Music From The Motion Picture)","Julie London",2006-03-21,168706,21,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-08T17:24:01Z,"vocal jazz,jazz,adult standards","Universal Music Enterprises",0.461,0.00405,11,-32.725,0,0.068,0.967,0.000547,0.114,0.106,66.633,4
spotify:track:0E8q2Fx2XuzXCO2NSAppkR,"In A Sentimental Mood","Duke Ellington & John Coltrane","Duke Ellington,John Coltrane",1963-02,255226,66,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-22T05:13:09Z,"jazz,big band,swing music,cool jazz,hard bop,free jazz,bebop,jazz blues","Impulse!",0.464,0.305,3,-12.435,0,0.0316,0.936,0.0848,0.208,0.281,107.854,4
spotify:track:3zBhihYUHBmGd2bcQIobrF,"(Sittin' On) the Dock of the Bay","The Dock of the Bay (Mono)","Otis Redding",1968,163755,77,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-22T05:21:58Z,"soul,motown,classic soul,soul blues","Rhino Atlantic",0.768,0.367,2,-11.226,1,0.0315,0.683,0.0000179,0.081,0.532,103.621,4
spotify:track:4NIvhPupMOjeTl0FPhVl3t,"The Moon Song - Live","Live from Crush Palace","Karen O",2015-02-17,178771,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-12T08:08:17Z,"","Cult Records, LLC",0.374,0.239,0,-16.677,1,0.0403,0.816,0.00000201,0.681,0.284,97.884,4
spotify:track:1fOkmYW3ZFkkjIdOZSf596,"Pink Matter","channel ORANGE","Frank Ocean,André 3000",2012-07-10,268813,79,true,v828zh1enlyp9vzjlfaj5rzpm,2020-07-12T08:17:51Z,"","Red Zone Entertainment / IDJ",0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,3
spotify:track:6Nle9hKrkL1wQpwNfEkxjh,"Chanel","Chanel","Frank Ocean",2017-03-10,210285,76,true,v828zh1enlyp9vzjlfaj5rzpm,2020-07-12T08:18:33Z,"","Blonded",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
spotify:track:41cpvQ2GyGb2BRdIRSsTqK,"Moon River","Moon River","Frank Ocean",2018-02-14,188323,77,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-12T08:18:47Z,"","Blonded",0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349,3
spotify:track:5g97GAdru7XfeJyJhViIll,"Smoke Signals","Stranger in the Alps","Phoebe Bridgers",2017-09-22,324773,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-12T08:55:32Z,"","Dead Oceans",0.342,0.237,10,-14.601,1,0.0384,0.945,0.000267,0.112,0.186,117.824,5
spotify:track:1eUGmzzvahJjOSWgDHuRlv,"Girl With The Tattoo Enter.lewd","All I Want Is You","Miguel",2010-11-26,102813,78,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-29T03:57:06Z,"r&b","Jive",0.372,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,4
spotify:track:3A2jJaOKYhmKEy9IyyEJF6,"lovesick","lovesick","potsu",2017-05-16,150966,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-30T18:38:33Z,"lo-fi","potsu",0.804,0.577,10,-14.929,1,0.14,0.922,0.939,0.113,0.181,79.486,4
spotify:track:3NsuucK8qXpIJf7KPZX7vq,"i'm closing my eyes","i'm closing my eyes","potsu",2017-05-17,118302,12,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-30T18:39:28Z,"lo-fi","potsu",0.895,0.109,0,-13.853,0,0.0996,0.534,0.549,0.106,0.546,134.067,4
spotify:track:2C5wQry94buTxs67LNjJTO,"Sadness and Sorrow","Sadness and Sorrow","Takaki Toshio",2019-12-08,179559,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-31T16:47:49Z,"anime","Sadness and Sorrow",0.269,0.197,4,-14.589,0,0.0344,0.784,0.795,0.163,0.0436,128.468,4
