Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:34BbMQc4AFjbojU7q5p9yJ,"god complex","god complex","yuronono",2023-05-14,126074,49,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-23T01:49:23Z,"shoegaze","25/7 Records LLC.",0.555,0.797,1,-9.795,1,0.0273,0.565,0.912,0.123,0.772,158.055,4
spotify:track:7x1vOvfRj1NkoaMoAFlwxV,"Eyes Without A Face","Eyes Without A Face","Sinnerella",2023-10-06,135206,66,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-23T01:49:34Z,"darkwave,post-punk,cold wave","Sinnerella",0.667,0.833,9,-6.362,1,0.163,0.00148,0.847,0.142,0.496,160.988,4
spotify:track:03W2WiY9OSnUI4F9dy9L60,"Watermelon","Dinner in America Soundtrack","John + Jane Q. Public",2022-05-31,110110,73,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-23T01:49:46Z,"","Best & Final Releasing, LLC",0.616,0.788,4,-4.789,0,0.0281,0.00103,0,0.256,0.55,79.993,4
spotify:track:20APmzlrVuZ7dMl2nPlLJi,"delulu","Never Truly Happy","NESYA",2023-12-10,136459,0,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-23T01:49:52Z,"darkwave","NESYA",0.6,0.856,1,-4.863,1,0.0374,0.00022,0,0.28,0.423,96.016,4
spotify:track:43U7HI83dsrYiS7AMDwkqC,"unrequited","unrequited","Midrift",2023-05-05,130142,12,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-23T01:51:11Z,"shoegaze","Midrift",0.328,0.813,5,-7.99,1,0.0753,0.0846,0.388,0.595,0.257,154.995,4
spotify:track:2ZgKOGthLtSzmDWde75FtY,"Vampiro","Haunted Castle (Extended Play)","French Police",2021-04-20,136803,58,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-23T14:39:36Z,"darkwave,post-punk,cold wave,gothic rock,deathrock","623422 Records DK2",0.522,0.532,9,-15.507,1,0.0341,0.00319,0.871,0.0809,0.875,171.929,4
spotify:track:4IydMf0i20TL6et0yBg29n,"The Unknowing","The Unknowing","Jfarrari",2023-09-01,197333,50,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-24T22:04:17Z,"darkwave,post-punk","Jfarrari",0.483,0.88,11,-5.836,0,0.0387,0.00738,0.676,0.173,0.691,179.94,4
spotify:track:4ihiiVAhf3Ta9h7IytC74L,"Twin Flames","Midrift","Midrift",2022-12-10,104071,13,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-24T22:07:03Z,"shoegaze","Midrfit",0.26,0.647,5,-4.226,0,0.043,0.0674,0.982,0.428,0.417,119.906,4
spotify:track:2Lh85dPaWU5G3NsCCE2PO8,"Search","Search","Scarlet House",2022-10-21,127500,0,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-25T03:24:30Z,"shoegaze","reside",0.492,0.513,11,-14.517,0,0.0254,0.0131,0.926,0.255,0.149,139.947,4
spotify:track:4ZrE0rP6AWVTCd4RQUOOE5,"Remain","Ultra Despair Girl","NESYA",2024-05-17,170013,45,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-25T03:27:24Z,"darkwave","Boom.Records",0.529,0.949,9,-5.225,1,0.0718,0.0304,0.00000659,0.273,0.553,86.015,4
spotify:track:3nngvoMPmH099GsutUmJGv,"Dirty Filthy Worms","Ultra Despair Girl","NESYA",2024-05-17,146544,33,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-25T03:30:14Z,"darkwave","Boom.Records",0.518,0.934,7,-6.149,0,0.0439,0.000471,0.144,0.0921,0.799,165.05,4
spotify:track:7iwDR2NBmjqbUGWnFNVEYp,"for her","for her","whatsaheart",2023-08-11,174680,61,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-25T15:20:41Z,"shoegaze","whatsaheart",0.44,0.883,4,-6.459,0,0.066,0.00461,0.216,0.452,0.477,82.517,4
spotify:track:7vTENp2sLS3sPY5z4npYNr,"Headlock","Speak for Yourself","Imogen Heap",2005-07-18,215481,9,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-29T23:33:18Z,"","Sony BMG Music UK",0.805,0.371,7,-10.721,0,0.0352,0.8,0,0.12,0.808,119.974,4
spotify:track:1AMADyXgIWayh5vXLZo2qF,"Covet","Colourmeinkindness","Basement",2012-10-23,227340,72,false,v828zh1enlyp9vzjlfaj5rzpm,2024-12-03T18:25:56Z,"midwest emo,shoegaze,pop punk","Run For Cover Records",0.428,0.799,4,-6.265,1,0.0468,0.00139,0.0742,0.0788,0.228,139.052,4
spotify:track:1QwYL1JmXingJ2UQeLEeBH,"hesitation","hesitation","Andrew Garden",2021-12-08,177804,20,false,v828zh1enlyp9vzjlfaj5rzpm,2024-12-07T14:31:20Z,"","Andrew Garden",0.538,0.827,8,-8.091,0,0.0329,0.0138,0,0.811,0.621,82.042,4
spotify:track:2GpNjyQO67Ss38PmPaL6uA,"Back To Strangers","Mourning Star","Rehash",2024-07-05,270335,59,false,v828zh1enlyp9vzjlfaj5rzpm,2024-12-08T20:01:24Z,"shoegaze","Rehash Records",0.282,0.614,2,-10.302,1,0.0397,0.311,0.503,0.131,0.323,167.464,4
spotify:track:5h8mMDgymYYbKfdqhrdwZY,"zombie","zombie","Max Fry",2023-06-09,131433,59,true,v828zh1enlyp9vzjlfaj5rzpm,2024-12-10T16:34:46Z,"","Max Fry, in partnership with Don't Be Greedy Records",0.585,0.763,0,-6.057,0,0.0402,0.000109,0.00605,0.0816,0.257,153.183,4
spotify:track:5NCnVxcLV3XriDtoygz3TK,"in your head","in your head","cloudyfield",2024-02-01,170016,64,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-08T03:11:27Z,"shoegaze","Project Exlife",0.526,0.649,1,-5.647,1,0.0287,0.184,0.685,0.109,0.236,129.97,4
spotify:track:3SBhQh5X7tO8ejCMUdjSRu,"Pandora","Pandora","Wisp",2024-04-05,261293,63,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-20T23:20:15Z,"shoegaze","Music Soup/Interscope Records",0.223,0.842,1,-6.356,1,0.0501,0.0000887,0.864,0.301,0.149,166.051,4
spotify:track:3zqH1uR85lHmf5YIyhPFuV,"don't waste your breath","don't waste your breath","NESYA",2024-08-16,157544,44,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-25T04:02:00Z,"darkwave","UnhappyHappyPlace",0.627,0.666,6,-7.578,1,0.036,0.0114,0.518,0.176,0.845,94.988,4
