Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ZduaRci3iNUiDfJbBfAaf,"Give It To Me - Full Vocal Mix","Give It To Me (Full Vocal Mix)","Matt Sassari",2021-10-22,102860,78,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:15:52Z,"tech house","Cr2 Records",0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,4
spotify:track:5ruAfadigoJgCI5DnnMshZ,"Feel The Rhythm","Feel The Rhythm EP","FOVOS",2022-10-12,200889,56,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:15:59Z,"techno,hard techno","Revealed Recordings",0.678,0.755,11,-6.448,1,0.0552,0.0011,0.391,0.483,0.0537,135.001,4
spotify:track:5pz7T6MSvtSt0f8j2axnL1,"Toca Toca - Radio Edit Lupage & Noyse Techno Mix","Toca Toca (Lupage & Noyse Techno Mix)","Fly Project,Lupage,NOYSE",2024-03-08,154905,49,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:05Z,"europop,hypertechno,techno","Roton Music",0.635,0.951,10,-3.353,0,0.361,0.0209,0.00476,0.252,0.792,159.93,4
spotify:track:44lgAk4wJN8ObrFSglxui5,"Everything You Have Done","MEDUZA","MEDUZA,GENESI",2023-10-13,156218,59,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:10Z,"tech house,melodic techno","Universal-Island Records Ltd.",0.679,0.935,2,-6.382,1,0.0594,0.0464,0.21,0.198,0.477,124.993,4
spotify:track:5oAyw9c4VvHaEdiAfLQobC,"Blade","Blade","DJ Kuba,Neitan,Bounce Inc.",2024-01-05,189926,65,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:15Z,"big room,bass house,melbourne bounce","Future House Music",0.625,0.991,10,-4.705,0,0.102,0.118,0.911,0.301,0.429,135.967,4
spotify:track:6aFUMn7oUmcHKFnx1WPcJt,"Poker Face","Poker Face","Lupage,Joe Kox",2023-11-17,157804,61,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:22Z,"hypertechno,techno","Epic Local",0.839,0.995,11,-4.007,1,0.194,0.121,0.0221,0.2,0.842,147.992,4
spotify:track:46CxPdtJQZxGsU0MHKEsiV,"Whenever Wherever","Cover My Tekk","D-Push",2023-08-04,88285,54,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:30Z,"hypertechno,techno","Weeolino Tech",0.707,0.609,11,-8.03,1,0.259,0.255,0.000449,0.317,0.413,140.014,4
spotify:track:5Y2n6pW4Vqr4Mzkd9V4Uk8,"Ray Of Solar","Ray Of Solar","Swedish House Mafia",2023-08-04,241793,70,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:36Z,"edm","Swedish House Mafia",0.526,0.822,6,-5.137,0,0.0493,0.0324,0.00000618,0.143,0.0382,134.991,4
spotify:track:17NHXI2CJp7KgdcwcDnRx4,"Boyz In Paris (with VINAI)","Boyz In Paris (with VINAI)","Marnik,Naeleck,VINAI",2023-07-28,151589,76,true,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:42Z,"big room,electro house,hypertechno,melbourne bounce,slap house","Signatune",0.628,0.967,1,-4.068,1,0.0485,0.0398,0.0000467,0.274,0.399,149.036,4
spotify:track:4atLPkcljMp14JBaigYFKC,"We Are The People - southstar Remix","We Are The People (southstar Remix)","Empire Of The Sun,southstar",2023-02-17,236157,69,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:16:57Z,"hypertechno,techno","Columbia/B1 Recordings",0.72,0.847,7,-6.469,1,0.0384,0.00174,0.0623,0.104,0.132,149.954,4
spotify:track:1cQld05IcUDw3RCFt7uymW,"Be The One","Be The One","Eli Brown",2023-03-31,169852,69,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:17:40Z,"techno,tech house","Polydor Records",0.651,0.932,0,-5.074,1,0.0419,0.0053,0.156,0.104,0.578,135.98,4
spotify:track:2apRbQlpckuUM282gW1Z6p,"Maneater","Maneater","JKRS,ECHO",2023-02-17,154285,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-04-26T15:18:07Z,"hypertechno,techno","Garde",0.834,0.881,3,-7.983,1,0.194,0.0749,0.142,0.175,0.757,140.016,4
spotify:track:41T043SzZ8VPpQgvg301ZS,"The Rhythm of the Night","The Rhythm of the Night","Neptunica,Corona",2022-09-02,153204,65,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-05T01:26:47Z,"hypertechno,slap house,eurodance","Kontor Records",0.59,0.897,0,-4.257,0,0.0567,0.00104,0.0098,0.192,0.339,139.871,4
spotify:track:7v9PgkhtIlivxuFXO1Dl1V,"Say It Right","Say It Right","Macon,Enny-Mae",2023-08-11,165209,61,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-05T01:29:34Z,"hypertechno,techno","Virgin",0.735,0.681,2,-6.421,1,0.256,0.0512,0.0887,0.167,0.302,143.054,4
spotify:track:5QyVkOoloNqSLOh0jshztd,"ASTRO - Police In Paris Remix","ASTRO (Police In Paris Remix)","Slowboy,IVOXYGEN,zaichkou888,Police In Paris",2024-07-19,188870,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-06T04:59:31Z,"phonk,brazilian phonk,rally house,hard techno,techno","Aurorian Records",0.593,0.969,1,-3.784,0,0.146,0.000673,0.389,0.201,0.485,150.021,4
