Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3CDVMejYHnB1SkEEx0T1N4,"Many Men","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,201856,65,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:04:41Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,4
spotify:track:1aS9IBBTXL2nSnMf1xPmdl,"Pressure","Pressure","Lon6z,Eastside Bandz,Louie Ray",2021-07-27,208979,15,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:05:01Z,"","794492 Records DK2",0.705,0.64,1,-7.298,1,0.266,0.437,0.0000125,0.152,0.208,102.409,4
spotify:track:1O1lSQaKrdt1dnkTmxDKgh,"Get Right","Get Right","Yung Mal",2021-09-01,120000,17,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:05:29Z,"","Alamo",0.883,0.659,11,-8.857,1,0.402,0.0489,0,0.0864,0.459,128.022,4
spotify:track:1yiEqTWd4LSp9ZrthQ1xA7,"Beat the Case","Untreated Trauma","Mozzy,EST Gee,Babyface Ray",2021-09-17,195049,36,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:05:40Z,"","Mozzy Records / EMPIRE",0.615,0.643,1,-7.973,1,0.347,0.0335,0,0.128,0.345,124.618,5
spotify:track:5bNrUcuk5gjy6Ko2dbfWhZ,"Today","A Love Letter To You 2","Trippie Redd,UnoTheActivist",2017-10-06,217211,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:05:51Z,"melodic rap,rage rap,cloud rap","Strainge Entertainment",0.639,0.609,9,-7.775,1,0.0378,0.0629,0.0000109,0.311,0.186,141.926,4
spotify:track:4V9ynsDPwHtdItksqjuRu0,"Brand New Draco","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,202420,60,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:05:57Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023,4
spotify:track:7wAnRqccDr2tzcSKLR4jKl,"More Time","Faith (Deluxe)","Pop Smoke",2021-07-31,120827,39,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:06:27Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.628,0.581,2,-8.377,1,0.188,0.46,0,0.152,0.259,145.396,4
spotify:track:1EJIcDYXwSqipW5dFe4uJz,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","KHALED KHALED","DJ Khaled,Lil Baby,Lil Durk",2021-04-30,236524,73,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:06:48Z,"chicago drill,drill","Epic/We The Best",0.477,0.727,2,-4.053,1,0.286,0.000866,0,0.108,0.227,150.062,4
spotify:track:2BITQ360Knh6qNAOqR7Dyq,"Miss The Rage (feat. Playboi Carti)","Miss The Rage (feat. Playboi Carti)","Trippie Redd,Playboi Carti",2021-05-07,236883,3,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:07:11Z,"melodic rap,rage rap","1400 Entertainment / 10K Projects",0.584,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,4
spotify:track:4hkBkf4cMvpsfa5pJYru4h,"MisUnderstood","MisUnderstood","Lil Jairmy",2020-11-16,258507,39,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-16T09:07:32Z,"","Lil Jairmy",0.803,0.582,1,-8.181,1,0.268,0.0967,0,0.221,0.195,112.12,4
