Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6FPZlhHqrtCi3C4IBCHAy6,"Tree On The Hill (Lunch Break Freestyle)","Tree On The Hill (Lunch Break Freestyle)","Lyrical Lemonade,Nino Paid",2025-04-25,100871,71,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:47:22Z,"","Signal Records/Columbia",0.6,0.643,2,-8.524,1,0.216,0.016,0.0013,0.101,0.384,138.323,4
spotify:track:1bjeWoagtHmUKputLVyDxQ,"Saturn","Saturn","SZA",2024-02-22,186191,78,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:47:50Z,"r&b","Top Dawg Entertainment/RCA Records",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
spotify:track:6dm4SwZUXiCXJMXFEn7OtI,"GOODBYE FOR NOW JOHNNY","JOHNNY BLAZE 2","Joey Trap",2025-01-24,94165,3,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:48:10Z,"","Young Rich Squad LLC",0.592,0.832,7,-4.414,1,0.122,0.579,0,0.126,0.786,81.416,4
spotify:track:5v74lHodmN9UX0dP0q8Jxq,"Who's Crying Now (2024 Remaster)","Greatest Hits (2024 Remaster)","Journey",1988-11-29,301950,56,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:49:17Z,"aor,classic rock","Columbia/Legacy",0.571,0.609,9,-7.677,0,0.0289,0.0612,0,0.122,0.351,122.33,4
spotify:track:4JEylZNW8SbO4zUyfVrpb7,"Caribbean Queen (No More Love On the Run)","The Very Best of Billy Ocean","Billy Ocean",2010-04-26,244426,74,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:51:36Z,"yacht rock","Sony Music UK",0.79,0.649,5,-7.507,1,0.0265,0.166,0.0000887,0.092,0.954,113.798,4
spotify:track:3QszJeuSyyZQmD9pY1tqpo,"I Would Die 4 U","Purple Rain","Prince",1984-06-25,169666,59,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:51:42Z,"funk,funk rock","Warner Records",0.711,0.637,2,-14.258,1,0.0284,0.0352,0.000274,0.105,0.632,135.256,4
spotify:track:3yphIOUSoTtS6vW9L6DsZ6,"The Way I Are - Remix","The Way I Are (Remix)","Olly James,Yosuf",2023-10-20,164841,31,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:58:24Z,"big room,hardstyle","Xploded Music Limited",0.674,0.998,1,-2.656,1,0.0652,0.000501,0.0229,0.312,0.343,150.033,4
spotify:track:38HkYfvnhHLLB5Yaj2VpZg,"No Photos","Heaven Or Hell","Don Toliver",2020-03-13,175296,63,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-23T23:58:49Z,"","We Run It Ent./Cactus Jack/Atlantic",0.752,0.729,1,-5.436,1,0.174,0.29,0.00000127,0.0783,0.366,134.038,4
spotify:track:20APmzlrVuZ7dMl2nPlLJi,"delulu","Never Truly Happy","NESYA",2023-12-10,136459,0,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-24T00:01:36Z,"darkwave","NESYA",0.6,0.856,1,-4.863,1,0.0374,0.00022,0,0.28,0.423,96.016,4
spotify:track:12LL3696cs252qRvZCmJWs,"Tear The Club Up","The Star","LittleRichh",2024-07-12,84218,12,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-24T00:06:03Z,"new york drill,drill,brooklyn drill","1865 LLC/Stop One Distribution LLC",0.67,0.806,3,-7.351,0,0.422,0.801,0,0.0737,0.777,154.356,4
spotify:track:4Aq0KjqOcpdxdaKOhltgPA,"Triple Threat (PT 1)","Triple Threat (PT 1 & 2)","M Row",2023-11-17,164291,17,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-24T00:08:54Z,"new york drill,drill,brooklyn drill,sexy drill","M Row",0.669,0.693,10,-13.366,0,0.358,0.192,0,0.729,0.536,139.04,4
spotify:track:2RjpDxBii8EvC6p6wxwCSz,"Harder To Breathe","Songs About Jane","Maroon 5",2002-06-25,173693,54,true,v828zh1enlyp9vzjlfaj5rzpm,2025-05-24T00:17:24Z,"pop","Interscope Records*",0.661,0.907,1,-4.764,0,0.0448,0.0497,0,0.0508,0.967,149.928,4
spotify:track:72SpPFrMYCXLB3Fbw9tEgf,"Heaven","Heaven","DJ Sammy,Yanou,Do",2002-02-26,233600,60,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-24T00:40:22Z,"eurodance,hardstyle,nederpop","Robbins Entertainment LLC",0.571,0.953,8,-5.601,1,0.0546,0.00111,0.000692,0.226,0.6,137.966,4
spotify:track:55Hlg31EQDXQn71p1KIr8r,"Clueless","Clueless","Beach Bunny",2024-09-25,208298,41,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-24T00:42:02Z,"","Beach Bunny Music LLC",0.617,0.889,4,-4.986,1,0.0374,0.00904,0,0.198,0.807,108.887,4
