Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5jGwTv5EyFEGRjCCQ2eGdg,"One On One - Remix","One On One (Remix)","Micah Dailey-White,Headband Henny,Mickey Doo",2023-11-17,212779,44,true,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:05:01Z,"","MICAHKAOLTRE/Headband Henny",0.743,0.542,9,-9.639,1,0.0285,0.132,0,0.109,0.697,101.016,3
spotify:track:6jsZP0m4X5qsktisM4Y1oC,"countryside - demo","countryside (demo)","Carter Ace",2023-08-15,84000,24,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:07:21Z,"indie r&b","Carter Ace",0.707,0.258,7,-10.845,0,0.295,0.259,0.000226,0.109,0.412,79.907,4
spotify:track:6lvG5mKwKPdaAAGT1DqSkh,"Soon To Be...","Sunkissed","Brocko,Jxsn Beats",2022-07-15,88257,27,true,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:07:45Z,"","SWAG A$$ RECORDS",0.613,0.461,1,-11.533,1,0.111,0.556,0.00000159,0.351,0.397,82.001,4
spotify:track:0kqJBKSFSB1nrE1bdymiFb,"depraved","depraved","Rachel Prancer",2023-04-07,77437,0,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:08:07Z,"","spiderblush",0.607,0.526,2,-10.678,1,0.218,0.214,0.00209,0.117,0.344,74.945,4
spotify:track:7hfl0aCqTLiOtJa3bOgTzA,"Fantasy","Fantasy","Troy Javelona",2023-12-04,172040,48,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:08:23Z,"","4506868 Records DK",0.56,0.76,5,-3.25,0,0.059,0.112,0,0.237,0.37,97.999,4
spotify:track:5m3tf2k1SvyJBNEAmWPDdf,"worth it - demo","memories 2 cry about (demo)","Carter Ace",2023-05-23,62619,24,true,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:08:55Z,"indie r&b","Carter Ace",0.607,0.481,7,-8.871,1,0.241,0.563,0.0000215,0.154,0.421,130.421,4
spotify:track:4tt8MHtQNAeU07cLheZeCT,"Terrified of Love","Terrified of Love","97otis",2023-02-02,90070,20,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:09:57Z,"","5OCIETY",0.718,0.806,11,-5.062,0,0.185,0.0843,0.00171,0.149,0.612,79.989,4
spotify:track:4c3wtz0cTV7S4hsx5WrGol,"Revolves Around You","Revolves Around You","Troy Javelona",2023-05-01,186122,47,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:10:36Z,"","4506868 Records DK",0.41,0.605,6,-6.4,0,0.0814,0.619,0.0202,0.0716,0.877,178.062,4
spotify:track:7tZRlo3MXQ4N2iBwifZlbi,"caves with onix","caves with onix","Eli G",2024-01-20,94970,31,true,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:11:52Z,"","Eli G Records",0.36,0.572,1,-13.171,1,0.221,0.75,0,0.413,0.81,173.1,4
spotify:track:1YJx2YYXLZdneV9PtDKwS0,"Tori's Ballad","Do you? but it's only the best part","Marigold",2023-07-21,177850,39,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:13:08Z,"","Independent",0.659,0.733,7,-8.018,1,0.0531,0.317,0.883,0.127,0.78,175.998,4
