Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YFNB1J1F6eOAjBlpMq8xY,"Annabel","Fortune Favors the Bold","49 Winchester",2022-05-13,180596,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:34:39Z,"red dirt,country,outlaw country","New West Records",0.697,0.537,7,-7.666,0,0.0441,0.255,0.00000464,0.285,0.512,141.956,4
spotify:track:2tgQaL85WoRfgEa4hFQgrE,"Feathered Indians","Purgatory","Tyler Childers",2017-08-04,224946,79,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:34:47Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4
spotify:track:3WTqgcPKyrWLRgTwYmKxNq,"Hard Travelin'","Blindfaller","Watchhouse",2016-09-30,162120,57,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:35:38Z,"bluegrass,americana,folk,newgrass","Yep Roc Records",0.453,0.781,9,-5.969,1,0.0399,0.18,0.304,0.0927,0.664,183.278,4
spotify:track:2SpEHTbUuebeLkgs9QB7Ue,"Jolene","Jolene","Dolly Parton",1974-02-04,161533,72,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:37:02Z,"country,classic country","RLG/Legacy",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
spotify:track:1kxtStKyjUkbPqMZXh5i4q,"Who Knows Where The Time Goes?","Meet On The Ledge: The Classic Years (1967-1975)","Fairport Convention",1999-01-01,307293,39,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:39:24Z,"folk rock,folk,traditional folk","Universal-Island Records Ltd.",0.518,0.175,4,-16.689,1,0.0314,0.689,0.14,0.112,0.413,144.541,4
spotify:track:6vE90mi4yKsQGY3YD2OOv1,"My Sweet Lord - 2014 Remaster","All Things Must Pass (2014 Remaster)","George Harrison",1970-11-20,281231,1,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:41:08Z,"","BMG Rights Management (US) LLC",0.539,0.69,1,-9.019,0,0.0332,0.083,0,0.0847,0.553,120.983,4
spotify:track:0zxj7dVhYZq5ACyaDx5XIo,"Layla - Acoustic Live","Unplugged (Live)","Eric Clapton",1992-08-25,289026,70,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T07:42:17Z,"blues,blues rock,classic rock","Bushbranch / Surfdog Records",0.559,0.524,2,-11.64,0,0.0462,0.318,0.00094,0.933,0.652,93.85,4
spotify:track:11EX5yhxr9Ihl3IN1asrfK,"Need You Now","Need You Now","Lady A",2010-01-01,277573,73,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T17:32:26Z,"country,pop country","Capitol Nashville",0.588,0.622,4,-5.535,1,0.0303,0.0906,0.000633,0.2,0.229,107.942,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T17:32:58Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison Folsom CA - January 1968","At Folsom Prison","Johnny Cash",1968-05-01,162653,67,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T17:33:37Z,"classic country,outlaw country,country","Columbia/Legacy",0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,4
spotify:track:5KqldkCunQ2rWxruMEtGh0,"The Gambler","The Gambler","Kenny Rogers",1978-11-20,214880,76,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-29T17:37:10Z,"country,classic country","Capitol Nashville",0.668,0.501,4,-13.119,1,0.0629,0.342,0,0.194,0.858,87.086,4
spotify:track:1v2iQAWQ7Q0TSrvLruckv1,"Eye of the Tiger","The Bluegrass Tribute to Classic Rock Volume Two","Pickin' On Series",2008-06-02,226493,11,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-02T23:56:10Z,"bluegrass,newgrass","CMH Records",0.734,0.482,11,-7.116,0,0.0266,0.771,0.00000171,0.22,0.804,110.03,4
spotify:track:5nkAJwICnwnzsriZCcastc,"Kryptonite","Pickin' On 3 Doors Down: Down to This","Pickin' On Series,Cornbread Red",2007-01-24,225506,31,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-02T23:58:36Z,"bluegrass,newgrass","CMH Records",0.764,0.603,11,-7.675,0,0.0291,0.551,0.0000235,0.101,0.584,98.991,4
spotify:track:7fBRH08A6Fu47GMyFamyoO,"Seven Nation Army","Seven Nation Army","Zella Day",2012-06-14,172919,54,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-03T00:02:23Z,"","WAX LTD",0.69,0.283,2,-7.309,1,0.0294,0.891,0.000386,0.111,0.35,104.348,4
spotify:track:72ha7F3FCjTFXFkUHt4fMe,"Years","Years","Sierra Ferrell",2022-06-29,179013,65,false,v828zh1enlyp9vzjlfaj5rzpm,2024-01-25T05:36:48Z,"americana,bluegrass,alt country","Easy Eye Sound",0.641,0.574,6,-8.071,0,0.0336,0.259,0.00000592,0.277,0.55,146.801,4
spotify:track:5BlGmys9VqmHZbf7eswxG1,"Daylight","Such Jubilee","Watchhouse",2015-05-05,193533,67,false,v828zh1enlyp9vzjlfaj5rzpm,2024-01-25T05:38:50Z,"bluegrass,americana,folk,newgrass","Yep Roc Records",0.582,0.371,2,-9.585,0,0.028,0.912,0.00784,0.108,0.163,128.756,4
spotify:track:0pFM9wvRLxLnu8N0qoAFSr,"There is a Time","There is a Time","Tori Miller",2023-06-16,225001,26,false,v828zh1enlyp9vzjlfaj5rzpm,2024-01-25T05:45:08Z,"southern gothic,bluegrass,newgrass","3391561 Records DK2",0.646,0.45,9,-9.636,0,0.0289,0.75,0.000435,0.267,0.473,117.878,4
spotify:track:05PnWL4lxRLylX5H0ERfsx,"North Country Blues","Mighty Poplar","Mighty Poplar,Andrew Marlin,Noam Pikelny,Chris Eldridge,Alex Hargreaves,Greg Garrison",2023-03-31,248951,15,false,v828zh1enlyp9vzjlfaj5rzpm,2024-01-25T05:48:41Z,"bluegrass,newgrass,americana,cajun","Free Dirt Records",0.541,0.309,11,-12.796,0,0.0336,0.911,0.000202,0.225,0.477,153.651,3
spotify:track:6C7OVZKLsu1Nj73Xr5RoLl,"Daughter of the Highlands","Jubilee","Old Crow Medicine Show",2023-08-25,262564,7,false,v828zh1enlyp9vzjlfaj5rzpm,2024-01-25T05:55:19Z,"bluegrass,newgrass,americana,alt country,folk,indie folk","ATO Records",0.304,0.341,9,-10.592,1,0.0278,0.702,0.000161,0.111,0.418,177.801,4
spotify:track:7GH8qNOm2gEKryVUyVzkmt,"Delta Dawn","Tanya Tucker / Super Hits","Tanya Tucker",1998-02-17,175200,63,false,v828zh1enlyp9vzjlfaj5rzpm,2024-05-16T16:24:59Z,"classic country,country,outlaw country","Columbia Nashville",0.619,0.507,5,-7.677,1,0.0335,0.71,0,0.258,0.694,77.995,4
spotify:track:2NW8BcU7ZtnJODt9VXQtgR,"Breakers Roar","Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions)","Sturgill Simpson",2020-10-16,149877,47,false,v828zh1enlyp9vzjlfaj5rzpm,2024-09-22T13:01:24Z,"outlaw country,alt country,bluegrass,americana,red dirt,country,newgrass","High Top Mountain Records",0.589,0.616,11,-8.646,0,0.0322,0.538,0.00604,0.154,0.666,106.568,4
spotify:track:6Gfmj0HbpvxTdW0sdlzTDU,"My Wish","Me And My Gang","Rascal Flatts",2006-11-13,248280,64,false,v828zh1enlyp9vzjlfaj5rzpm,2024-11-03T01:50:49Z,"country","Lyric Street",0.548,0.769,4,-4.853,1,0.0312,0.0307,0.00000553,0.0867,0.388,135.712,4
