Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1cUJ8uWfmk5RFaaX3LyhHW,"AMERICAN MUSCLE","CLAIRVOYANCE","Thouxanbanfauni",2020-07-21,156000,52,true,,1970-01-01T00:00:00Z,"cloud rap,melodic rap","ThouxanbanFauni",0.603,0.429,10,-9.619,0,0.225,0.119,0.415,0.127,0.162,159.858,4
spotify:track:3yk7PJnryiJ8mAPqsrujzf,"Location","Playboi Carti","Playboi Carti",2017-04-14,168783,77,true,,1970-01-01T00:00:00Z,"rage rap","AWGE Label",0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,4
spotify:track:4S4Mfvv03M1cHgIOJcbUCL,"In My Room","In My Room","Frank Ocean",2019-11-02,133680,69,true,,1970-01-01T00:00:00Z,"","Blonded",0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4
spotify:track:5jc4Qcs98R4ZDku8ictuE3,"Tampa","Sweet Union","Cico P",2019-10-31,176160,0,true,,1970-01-01T00:00:00Z,"","DawgTies Ent.",0.888,0.408,8,-10.162,0,0.487,0.164,0,0.0912,0.742,77.029,4
spotify:track:2TfSHkHiFO4gRztVIkggkE,"Sugar We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-05-03,229093,78,false,,1970-01-01T00:00:00Z,"emo,pop punk","Island Records",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
spotify:track:3cjF2OFRmip8spwZYQRKxP,"Feel No Ways","Views","Drake",2016-05-06,240653,76,true,,1970-01-01T00:00:00Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.582,0.677,7,-7.081,1,0.172,0.0312,0.0000066,0.122,0.205,193.818,4
spotify:track:6GivWRmlYtefJr28jev6e0,"Leray","A Love Letter To You 4","Trippie Redd",2019-11-22,122706,0,true,,1970-01-01T00:00:00Z,"melodic rap","TenThousand Projects, LLC",0.774,0.195,4,-12.233,1,0.0871,0.789,0.00103,0.109,0.369,132.847,4
spotify:track:6ZmrMq5H0s5WBkWGIQCosp,"Brainstorm","Life of a Rap Star","Damjonboi,Babyface Ray",2020-05-05,229872,23,true,,1970-01-01T00:00:00Z,"","Sb Nation",0.482,0.592,11,-9.61,0,0.579,0.0841,0,0.347,0.511,183.864,4
spotify:track:14PWHDV87nXiSuClZDsEYC,"Richard Millie Plain","Drip or Drown 2","Gunna",2019-02-22,200134,59,true,,1970-01-01T00:00:00Z,"melodic rap","300 Entertainment",0.744,0.674,1,-7.518,0,0.0641,0.356,0,0.128,0.316,134.021,4
spotify:track:0gO3E51A3fqp0ypJ26QbVP,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler The Creator)","Lil Boat 3","Lil Yachty,Tierra Whack,A$AP Rocky,Tyler The Creator",2020-05-29,232838,55,true,,1970-01-01T00:00:00Z,"alternative r&b,rap","Quality Control Music/Motown Records",0.784,0.632,10,-6.083,0,0.347,0.156,0,0.605,0.746,124.603,4
